ZAAKNAAM;XCOORD;YCOORD;WERKOPP;outlet_type;m2_score;score_maartje;impact_factor;;
TS Indian Shop;121753;485559;0;Asian supermarket;0,5;1,5;0,75;;
De nieuwe toko;125986;481758;0;Asian supermarket;0,5;1,5;0,75;;
Japans-Koreaans Delicatessen Shilla;120161;482655;0;Asian supermarket;0,5;1,5;0,75;;
Star Asian Supermarket Amsterdam B.V.;124205;486285;0;Asian supermarket;0,5;1,5;0,75;;
Toko Amstelglorie;122195;483949;0;Asian supermarket;0,5;1,5;0,75;;s
Dolly's Groceries;121138;485561;0;Asian supermarket;0,5;1,5;0,75;;
Super Tropical Toko;126113;479186;18;Asian supermarket;0,5;1,5;0,75;;
Pinoy Mini Store;121275;485398;26;Asian supermarket;0,5;1,5;0,75;;
Tropical Center Noord;122661;489284;32;Asian supermarket;0,5;1,5;0,75;;
V.O.F. Toko Chin Li;125524;480823;35;Asian supermarket;0,5;1,5;0,75;;
Winkel Amarjeet Singh;121375;485428;35;Asian supermarket;0,5;1,5;0,75;;
Toko Hangalampoe;120356;488392;37;Asian supermarket;0,5;1,5;0,75;;
Badri´s Tropicals;125539;480812;40;Asian supermarket;0,5;1,5;0,75;;
Cheng Trading;121871;487449;40;Asian supermarket;0,5;1,5;0,75;;
Toko Restu;119168;486426;40;Asian supermarket;0,5;1,5;0,75;;
Yayang;120388;489246;44;Asian supermarket;0,5;1,5;0,75;;
Asian Food Store/Toko;119356;486198;45;Asian supermarket;0,5;1,5;0,75;;
Toko Welcome;120344;489339;46;Asian supermarket;0,5;1,5;0,75;;
Tropical Bhai;121466;485458;51;Asian supermarket;0,5;1,5;0,75;;
Toko Alma;127258;482001;51;Asian supermarket;0,5;1,5;0,75;;
Malhi Tropische Groente en Fruit;123656;486220;52;Asian supermarket;0,5;1,5;0,75;;
Asian-Caribbean Market;119586;486598;52;Asian supermarket;0,5;1,5;0,75;;
Afoe Censie;121311;485437;53;Asian supermarket;0,5;1,5;0,75;;
JRV Tropical Food V.O.F.;118209;487849;55;Asian supermarket;1;1,5;1,5;;
Toko Man Li Ho;124023;486297;55;Asian supermarket;1;1,5;1,5;;
Tropic - 2000;119569;486690;55;Asian supermarket;1;1,5;1,5;;
Tropische Winkel Basnoe;123154;485282;57;Asian supermarket;1;1,5;1,5;;
Tropische Toko Noord;124421;490246;59;Asian supermarket;1;1,5;1,5;;
U&K Food Market B.V.;126685;481686;62;Asian supermarket;1;1,5;1,5;;
Priwet Rossia;121298;486289;65;Asian supermarket;1;1,5;1,5;;
Tropische Winkel Rustem I.;121392;485405;70;Asian supermarket;1;1,5;1,5;;
King Supermarkt;120819;486230;70;Asian supermarket;1;1,5;1,5;;
Bulgaarse supermarkt KAPRIZ;114422;485544;72;Asian supermarket;1;1,5;1,5;;
Abyssinia African Grocery;119438;485987;73;Asian supermarket;1;1,5;1,5;;
Tjin's Toko;121344;485343;74;Asian supermarket;1;1,5;1,5;;
Worldwide Supermarkt;121720;487569;79;Asian supermarket;1;1,5;1,5;;
Supermarkt en Drogisterij Armino;119367;487067;80;Asian supermarket;1;1,5;1,5;;
Toko Ramee;121127;485366;80;Asian supermarket;1;1,5;1,5;;
Casa Brazil Portugal;120112;486820;85;Asian supermarket;1;1,5;1,5;;
Toko Monique;126536;480785;85;Asian supermarket;1;1,5;1,5;;
Toko Makassar;115241;488081;86;Asian supermarket;1;1,5;1,5;;
C & C Asian Market;121729;485576;88;Asian supermarket;1;1,5;1,5;;
Bulgarije Shop B.V.;116881;485602;88;Asian supermarket;1;1,5;1,5;;
All World Toko;122733;485556;90;Asian supermarket;1;1,5;1,5;;
Jiawan B.V.;129117;484996;91;Asian supermarket;1;1,5;1,5;;
Japans Winkel Dank;120068;482136;95;Asian supermarket;1,5;1,5;2,25;;
Skylo Beauty Salon B.V.;125560;480990;102;Asian supermarket;1,5;1,5;2,25;;
Thai-Shop;121947;487263;108;Asian supermarket;1,5;1,5;2,25;;
Riedwijn Import & Export V.O.F.;119015;484856;116;Asian supermarket;1,5;1,5;2,25;;
V.O.F. Toko Chin Li;125470;480738;119;Asian supermarket;1,5;1,5;2,25;;
Toko Henk;123731;486157;120;Asian supermarket;1,5;1,5;2,25;;
Toko Wong V.O.F.;126732;481731;121;Asian supermarket;1,5;1,5;2,25;;
Tropische Markt Surima;119611;486596;123;Asian supermarket;1,5;1,5;2,25;;
Loja Finalmentebrasil I;119176;486402;128;Asian supermarket;1,5;1,5;2,25;;
Europa Supermarket and Souvenir;121385;487676;133;Asian supermarket;1,5;1,5;2,25;;
Kaystar B.V.;126644;481665;137;Asian supermarket;1,5;1,5;2,25;;
Sranang Switie B.V.;125152;480660;140;Asian supermarket;1,5;1,5;2,25;;
McJad Toko Supermarkt;126897;480765;147;Asian supermarket;1,5;1,5;2,25;;
Toko Sunrise;121958;487455;152;Asian supermarket;1,5;1,5;2,25;;
Toko Reigersbos;126889;478913;157;Asian supermarket;1,5;1,5;2,25;;
Versmarkt Koornhorst;127684;481229;158;Asian supermarket;1,5;1,5;2,25;;
Oriëntal Commodities B.V.;121836;487237;164;Asian supermarket;1,5;1,5;2,25;;
Hong Kong Superstore;119347;486494;224;Asian supermarket;1,5;1,5;2,25;;
Supermarkt Costa B.V.;123342;488759;274;Asian supermarket;1,5;1,5;2,25;;
Wah Nam Hong B.V.;121875;487461;277;Asian supermarket;1,5;1,5;2,25;;
Toko Kai Hing;126721;481746;325;Asian supermarket;1,5;1,5;2,25;;
Supermarkt Nieuw West B.V.;115853;487589;1084;Asian supermarket;1,5;1,5;2,25;;
J. Moonen t.h.o.d.n. Backwrk Amsterdam Zuidas;119907;483409;0;Bakery;0,5;1,2;0,6;;
Zoet, Zuur & Zout;120825;485150;0;Bakery;0,5;1,2;0,6;;
Al Hoceima Bakkerij B.V.;119524;488254;0;Bakery;0,5;1,2;0,6;;
Breakfast-Inn;120029;487200;0;Bakery;0,5;1,2;0,6;;
Al Hoceima Bakkerij B.V.;112409;491543;0;Bakery;0,5;1,2;0,6;;
Bakker Van Vessem;121470;484172;0;Bakery;0,5;1,2;0,6;;
Remko's Brood & Taartjes;122185;484329;0;Bakery;0,5;1,2;0,6;;
Bake My Day B.V.;113606;489458;0;Bakery;0,5;1,2;0,6;;
Bizim Ufuk Bakkerij;125468;489526;0;Bakery;0,5;1,2;0,6;;
Bakkerij Mediteranne B.V.;120783;488601;15;Bakery;0,5;1,2;0,6;;
Stadsbakker Jongejans;121423;488061;15;Bakery;0,5;1,2;0,6;;
M. de Morée Amsterdam B.V.;120974;487862;16;Bakery;0,5;1,2;0,6;;
Bakkerij De Lekkernij;124773;483722;18;Bakery;0,5;1,2;0,6;;
Magrib Bakkerij;118227;488101;20;Bakery;0,5;1,2;0,6;;
Bakkerij Blankendaal;119078;484232;20;Bakery;0,5;1,2;0,6;;
Bakkerij G.N. Visser B.V.;120461;487402;20;Bakery;0,5;1,2;0,6;;
Bakkerij Isken;122887;489734;22;Bakery;0,5;1,2;0,6;;
De Lekkere Dingen Bakker;125527;480833;24;Bakery;0,5;1,2;0,6;;
Bakkerij Bayar;123092;488806;24;Bakery;0,5;1,2;0,6;;
BBrood-4 B.V.;121361;485365;25;Bakery;0,5;1,2;0,6;;
Warme Bakkers Klopper en Stolk;119883;486687;25;Bakery;0,5;1,2;0,6;;
Bakkerij Kaandorp;122750;489485;25;Bakery;0,5;1,2;0,6;;
Rud.H. Venekamp;121183;485129;28;Bakery;0,5;1,2;0,6;;
Bakkerij Safak;123514;485427;28;Bakery;0,5;1,2;0,6;;
Bakkerij Nazik;114070;485531;29;Bakery;0,5;1,2;0,6;;
MOSADO;120961;488399;30;Bakery;0,5;1,2;0,6;;
Broodbakkerij van der Heijden;118626;488069;30;Bakery;0,5;1,2;0,6;;
Ron Verboom Bakkerij;121194;485083;30;Bakery;0,5;1,2;0,6;;
'Kabatokya' Deegspecialiteiten;124289;486288;30;Bakery;0,5;1,2;0,6;;
Edwin t.h.o.d.n. Bertram & Brood;120604;487794;30;Bakery;0,5;1,2;0,6;;
Bakkerij Isken;121198;491792;30;Bakery;0,5;1,2;0,6;;
BBrood-10 B.V.;120294;484727;31;Bakery;0,5;1,2;0,6;;
Broodbakker Simon Meijssen;121215;485882;31;Bakery;0,5;1,2;0,6;;
Ekmek Teknesi;115863;487885;32;Bakery;0,5;1,2;0,6;;
Bakkerij Kaya;116345;487923;32;Bakery;0,5;1,2;0,6;;
Baking Lab;123626;485719;33;Bakery;0,5;1,2;0,6;;
M. Yakhlaf Bakkerij B.V.;124127;486312;35;Bakery;0,5;1,2;0,6;;
Bakkerij Osman Usta;115067;487822;36;Bakery;0,5;1,2;0,6;;
Panaderia Alhambra;119864;488333;36;Bakery;0,5;1,2;0,6;;
Bakkerij De Waal-Damrak;121423;487478;39;Bakery;0,5;1,2;0,6;;
Warme Bakkers Klopper en Stolk;118833;485113;40;Bakery;0,5;1,2;0,6;;
Daniëlle Betram t.h.o.d.n. Betram & Brood;119849;485348;40;Bakery;0,5;1,2;0,6;;
Mastenbroek Banket Amsterdam;119161;485855;40;Bakery;0,5;1,2;0,6;;
De Lekkere Dingen Bakker;125574;489503;40;Bakery;0,5;1,2;0,6;;
Speciaalbakker Nol Bertram;118401;487980;41;Bakery;0,5;1,2;0,6;;
Broodbakkerij van der Heijden;117135;485839;41;Bakery;0,5;1,2;0,6;;
de Bakkerszonen Beukenplein B.V.;123010;485581;42;Bakery;0,5;1,2;0,6;;
Bakkerij Ferah;123084;485441;42;Bakery;0,5;1,2;0,6;;
Hartog's Volkorenbakkerij B.V.;122562;485541;43;Bakery;1;1,2;1,2;;
Elbardai;119247;486428;45;Bakery;1;1,2;1,2;;
Bakkerij Bhaggoe;121832;484484;45;Bakery;1;1,2;1,2;;
Plooij Brood en Banket;119248;487576;45;Bakery;1;1,2;1,2;;
Broodbakker Simon Meijssen B.V.;121183;485343;46;Bakery;1;1,2;1,2;;
Bakkerij Bert;123582;486168;47;Bakery;1;1,2;1,2;;
A.M. de Rond Brood- en Banketbakkerij B.V.;119079;485819;47;Bakery;1;1,2;1,2;;
Firma Ad Straathof Marktbakkerij;119543;486764;48;Bakery;1;1,2;1,2;;
Bakkerij Westerbos B.V.;120008;487550;50;Bakery;1;1,2;1,2;;
Bertram & Brood Maasstraat;121450;484209;50;Bakery;1;1,2;1,2;;
Bakkerij Kara Firin B.V.;124555;485975;50;Bakery;1;1,2;1,2;;
Bakkerij Renzema;119642;484398;50;Bakery;1;1,2;1,2;;
Banketbakkerij Nador;117470;486555;51;Bakery;1;1,2;1,2;;
Bakkerij Bon Appetit;115073;487921;51;Bakery;1;1,2;1,2;;
Bakkerij Balvert;123762;485536;52;Bakery;1;1,2;1,2;;
Bakkerij Dunya;119575;486623;53;Bakery;1;1,2;1,2;;
Bakkerij Balvert;123843;485260;53;Bakery;1;1,2;1,2;;
Stefs Bakery, Pastry and More B.V.;121024;486267;53;Bakery;1;1,2;1,2;;
Bakkerij Rob Imming;120734;488218;54;Bakery;1;1,2;1,2;;
BBrood-6 B.V.;118770;484957;54;Bakery;1;1,2;1,2;;
Broodbakker Simon Meijssen;119346;485166;55;Bakery;1;1,2;1,2;;
Bakkerij van Oost;124229;486274;55;Bakery;1;1,2;1,2;;
Broodbakker Mensink;118625;484890;55;Bakery;1;1,2;1,2;;
Bakkerij Dekker;118536;486957;57;Bakery;1;1,2;1,2;;
Marokkaans brood-/banketbakkerij De Commelin;123606;486322;57;Bakery;1;1,2;1,2;;
Frankie's Corner;119325;486350;57;Bakery;1;1,2;1,2;;
Bakkerij Kwakman;118649;487120;58;Bakery;1;1,2;1,2;;
Broodbakker Mensink B.V.;119943;486716;59;Bakery;1;1,2;1,2;;
NL Brood;121457;484486;59;Bakery;1;1,2;1,2;;
Brood- en Banketbakkerij Afrah Fes;124156;486284;60;Bakery;1;1,2;1,2;;
Fanous B.V.;121348;486945;60;Bakery;1;1,2;1,2;;
Warme bakker DAM;121205;487282;61;Bakery;1;1,2;1,2;;
Bakkerij Ferdinand Bol;121152;485454;62;Bakery;1;1,2;1,2;;
Brood- en Banketbakk. J. en M. vd Horst;124465;484891;62;Bakery;1;1,2;1,2;;
Bakkerij Windhouwer B.V.;120779;491982;62;Bakery;1;1,2;1,2;;
Banketbakkerij Nador B.V.;116778;485371;62;Bakery;1;1,2;1,2;;
Osdorp Cesme Patisserie;115089;486232;64;Bakery;1;1,2;1,2;;
Molen Bakkerij;121748;486073;66;Bakery;1;1,2;1,2;;
Amoud Bakkerij;115806;487551;67;Bakery;1;1,2;1,2;;
Brood en Banketbakkerij Lia;129078;484903;69;Bakery;1;1,2;1,2;;
La Boulangerie Tradionelle Marrakech;115078;485751;69;Bakery;1;1,2;1,2;;
