ZAAKNAAM;ACTIVENQ;XCOORD;YCOORD;WERKOPP;MAARTJE;score;scorem2;
Toko Amstelglorie;4711;122195;483949;0;Asian supermarket;1,5;0,5;
Company Lukic;4711;124255;486725;0;Asian supermarket;1,5;0,5;
Tadamoun Westerpark;4711;120237;489180;0;Asian supermarket;1,5;0,5;
Roppongi;4711;119933;488075;0;Asian supermarket;1,5;0,5;
Aboudi;4711;120797;486232;0;Asian supermarket;1,5;0,5;
Il Pecorino;4711;122413;488885;0;Asian supermarket;1,5;0,5;
De nieuwe toko;4711;125986;481758;0;Asian supermarket;1,5;0,5;
S. Zargar-Shakouri;4711;124559;490873;0;Asian supermarket;1,5;0,5;
Tanger Markt Stede B.V.;4711;117756;490188;0;Asian supermarket;1,5;0,5;
Zara Market;4711;118392;487346;0;Asian supermarket;1,5;0,5;
Super Merkado;4711;115092;487712;0;Asian supermarket;1,5;0,5;
Supermarkt Toubkal;4711;118705;486419;0;Asian supermarket;1,5;0,5;
Eshel B.V.;4711;120627;481921;0;Asian supermarket;1,5;0,5;
Mina Tuana Food Center;4711;122805;488764;0;Asian supermarket;1,5;0,5;
Tanger Markt Venserpolder B.V.;4711;124665;481690;0;Asian supermarket;1,5;0,5;
Son To Maatje;4711;122909;490822;0;Asian supermarket;1,5;0,5;
Supermarkt/Slagerij Jouhri;4711;117060;485505;0;Asian supermarket;1,5;0,5;
Serifoglu West B.V.;4711;116422;488206;0;Asian supermarket;1,5;0,5;
Serifoglu B.V.;4711;118589;489609;0;Asian supermarket;1,5;0,5;
Supermarkt Karadeniz;4711;114648;484931;0;Asian supermarket;1,5;0,5;
Serifoglu Osdorp B.V.;4711;118589;489609;0;Asian supermarket;1,5;0,5;
Krówka Markt;4711;121764;492056;0;Asian supermarket;1,5;0,5;
Supermarkt Yakhlaf West B.V.;4711;116743;488226;0;Asian supermarket;1,5;0,5;
Poolse Markt Krakus;47293;124404;486189;0;Asian supermarket;1,5;0,5;
Mirna Supermarkt;4711;121593;487328;16;Asian supermarket;1,5;0,5;
Super Tropical Toko;4711;126113;479186;18;Asian supermarket;1,5;0,5;
Feduzzi's Mercato Italiano;4711;121202;484316;25;Asian supermarket;1,5;0,5;
Kooy's Deli;4711;119313;485141;25;Asian supermarket;1,5;0,5;
Lombardo's;4711;121045;486301;30;Asian supermarket;1,5;0,5;
Tropical Center Noord;4711;122661;489284;32;Asian supermarket;1,5;0,5;
Gaziantep Serif Oglu;4711;116393;488234;35;Asian supermarket;1,5;0,5;
Supermarkt Nevsehir;4711;118489;486918;35;Asian supermarket;1,5;0,5;
Emre Supermarkt B.V.;4721;115267;488082;35;Asian supermarket;1,5;0,5;
Winkel Amarjeet Singh;47293;121375;485428;35;Asian supermarket;1,5;0,5;
Aydin Supermarkt;4711;118993;487847;36;Asian supermarket;1,5;0,5;
Toko Restu;4711;119168;486426;40;Asian supermarket;1,5;0,5;
Badri´s Tropicals;4711;125539;480812;40;Asian supermarket;1,5;0,5;
Mert Market;4711;123362;485331;40;Asian supermarket;1,5;0,5;
Nossa Terra;4711;120607;488099;40;Asian supermarket;1,5;0,5;
Rustem ten Kate;4711;119583;486606;43;Asian supermarket;1,5;0,5;
Bedir Food;4711;124135;486283;43;Asian supermarket;1,5;0,5;
Asian Food Store/Toko;47299;119356;486198;45;Asian supermarket;1,5;0,5;
Sarah en Madu B.V.;4711;121312;487159;46;Asian supermarket;1,5;0,5;
Puccini Bomboni;4711;121064;487524;47;Asian supermarket;1,5;0,5;
Deniz;4711;117618;486337;48;Asian supermarket;1,5;1,0;
Superette Ennassr;4711;124494;486149;49;Asian supermarket;1,5;1,0;
Toko Alma;4711;127258;482001;51;Asian supermarket;1,5;1,0;
Ilkerim Supermarkt;47293;118474;484909;51;Asian supermarket;1,5;1,0;
Malhi Tropische Groente en Fruit;4711;123656;486220;52;Asian supermarket;1,5;1,0;
Asian-Caribbean Market;4711;119586;486598;52;Asian supermarket;1,5;1,0;
Imazigen;4711;119053;486944;54;Asian supermarket;1,5;1,0;
Bobo Bazaar;4711;121559;487019;54;Asian supermarket;1,5;1,0;
Prijatelji;4711;120087;487484;54;Asian supermarket;1,5;1,0;
Derya Supermarkt B.V.;4711;116338;487899;54;Asian supermarket;1,5;1,0;
Akdeniz Lido;4711;122909;490068;57;Asian supermarket;1,5;1,0;
Tujuh Maret;4711;121721;486271;57;Asian supermarket;1,5;1,0;
Tropische Winkel Basnoe;47293;123154;485282;57;Asian supermarket;1,5;1,0;
Aziz Market;4711;119291;486371;60;Asian supermarket;1,5;1,0;
Aldisco;4711;119395;486172;60;Asian supermarket;1,5;1,0;
Supermarkt Nouna;4711;118463;485912;66;Asian supermarket;1,5;1,0;
Walee;4711;124692;481719;66;Asian supermarket;1,5;1,0;
Istanblue Vers Shop;4711;118615;487073;66;Asian supermarket;1,5;1,0;
Al Iman Supermarkt;4711;123068;488795;70;Asian supermarket;1,5;1,0;
Daily Delis de eet en drink winkel;4711;124494;484729;70;Asian supermarket;1,5;1,0;
Tropische Winkel Rustem I.;47293;121392;485405;70;Asian supermarket;1,5;1,0;
Serifoglu West B.V.;4711;116424;488215;72;Asian supermarket;1,5;1,0;
Bulgaarse supermarkt KAPRIZ;47293;114422;485544;72;Asian supermarket;1,5;1,0;
Abyssinia African Grocery;47299;119438;485987;73;Asian supermarket;1,5;1,0;
Supertoko/Islamitische Slagerij Nawied;4711;124523;486377;74;Asian supermarket;1,5;1,0;
Ata Can;4711;115037;486216;75;Asian supermarket;1,5;1,0;
New Bario Market;4711;120372;488405;76;Asian supermarket;1,5;1,0;
Worldwide Supermarkt;4711;121720;487569;79;Asian supermarket;1,5;1,0;
Ömre Supermarkt;4711;124888;490482;80;Asian supermarket;1,5;1,0;
Eatalie Gastronomia;4711;122264;484008;80;Asian supermarket;1,5;1,0;
Bazaar Beni-Ansar;47299;119958;488470;80;Asian supermarket;1,5;1,0;
Toko Monique;4711;126536;480785;85;Asian supermarket;1,5;1,0;
Casa Brazil Portugal;4711;120112;486820;85;Asian supermarket;1,5;1,0;
Bantammer Supermarkt;4721;121989;487431;86;Asian supermarket;1,5;1,0;
Versshop Ilker;4711;117520;486330;87;Asian supermarket;1,5;1,0;
Bulgarije Shop B.V.;4711;116881;485602;88;Asian supermarket;1,5;1,0;
C & C Asian Market;4711;121729;485576;88;Asian supermarket;1,5;1,0;
Oz Temiz Market 1;4711;119189;486407;90;Asian supermarket;1,5;1,0;
Uliveto;4711;121551;485816;90;Asian supermarket;1,5;1,0;
ASLAN VERSMARKT;4711;123071;485467;90;Asian supermarket;1,5;1,0;
Jiawan B.V.;4711;129117;484996;91;Asian supermarket;1,5;1,0;
Supermarkt Eva;4711;120898;489116;91;Asian supermarket;1,5;1,0;
Safari Import & Export;4711;124693;481636;94;Asian supermarket;1,5;1,0;
Japans Winkel Dank;47293;120068;482136;95;Asian supermarket;1,5;1,0;
Helal et Gida Oost B.V.;4711;123522;485431;100;Asian supermarket;1,5;2,0;
Supermarkt Bismillah;4711;124292;485979;100;Asian supermarket;1,5;2,0;
Perzisch Huis;4711;120513;487421;101;Asian supermarket;1,5;2,0;
Warsi Skyloo Super;4711;125560;480990;102;Asian supermarket;1,5;2,0;
C.K. Türker Supermarkt;4711;124553;485992;109;Asian supermarket;1,5;2,0;
Supermarkt Dé Marokkaan (Bos en Lommer);4711;118208;487850;110;Asian supermarket;1,5;2,0;
V.O.F. Attent A-Markt Gunes;4711;118408;485443;118;Asian supermarket;1,5;2,0;
K. Günes thodn Attent Czaar Peter Supermarkt;4711;123645;486859;120;Asian supermarket;1,5;2,0;
Tropische Markt Surima;47293;123731;486157;120;Asian supermarket;1,5;2,0;
Tropische Markt Surima;47293;119611;486596;123;Asian supermarket;1,5;2,0;
Yasmin Fine Food;4711;121615;487288;124;Asian supermarket;1,5;2,0;
Loja Finalmentebrasil I;4711;119176;486402;128;Asian supermarket;1,5;2,0;
Bizim Ufuk Supermarket en Bakkerij (a.i.);4711;125621;489552;131;Asian supermarket;1,5;2,0;
Özyildiz Supermarkt;4721;124016;486266;133;Asian supermarket;1,5;2,0;
K. Celik Import Export/Supermarkt;47293;125525;480926;135;Asian supermarket;1,5;2,0;
Kaystar B.V.;4711;126644;481665;137;Asian supermarket;1,5;2,0;
Sranang Switie B.V.;4711;125152;480660;140;Asian supermarket;1,5;2,0;
Supermarkt Yakhlaf Oost B.V.;4711;123998;486291;140;Asian supermarket;1,5;2,0;
Nuri Genco Supermarket;4711;122157;484465;143;Asian supermarket;1,5;2,0;
McJad Toko Supermarkt;4711;126897;480765;147;Asian supermarket;1,5;2,0;
Supermarket Ay Baris;4721;114904;486091;156;Asian supermarket;1,5;2,0;
V.O.F. Attent Gunes;4711;120729;482786;160;Asian supermarket;1,5;2,0;
Sera Beydogan Supermarkt;4711;118812;488277;163;Asian supermarket;1,5;2,0;
Intern. Food Centrum;4711;119968;488367;163;Asian supermarket;1,5;2,0;
Marbia Centre;4711;125478;480726;163;Asian supermarket;1,5;2,0;
Supermarkt Ipek;4711;125259;480703;176;Asian supermarket;1,5;2,0;
Bobo Market;4711;121984;487609;177;Asian supermarket;1,5;2,0;
Supermarkt Dé Marokkaan (Slotervaart);4711;116835;485191;180;Asian supermarket;1,5;2,0;
EFE Supermarket;4711;124194;486287;185;Asian supermarket;1,5;2,0;
Öz Damla Supermarket V.O.F.;4711;117332;488074;193;Asian supermarket;1,5;2,0;
Genco Noord Versmarkt;4711;122739;489476;200;Asian supermarket;1,5;2,0;
Versshop Genco;4711;124399;490246;211;Asian supermarket;1,5;2,0;
Doha Food;4711;116881;485568;211;Asian supermarket;1,5;2,0;
Tigris & Eufraat;4711;124031;486269;220;Asian supermarket;1,5;2,0;
Cappadocia;4711;123717;485445;228;Asian supermarket;1,5;2,0;
UMMAH daoudi supermarkt;4711;117476;486341;240;Asian supermarket;1,5;2,0;
