C28992R100;score
E1257N4776;-0,29
E1258N4776;-0,29
E1259N4776;-0,29
E1256N4777;-0,29
E1257N4777;-0,66
E1258N4777;-0,66
E1259N4777;-0,66
E1260N4777;-0,29
E1256N4778;-0,29
E1257N4778;-0,66
E1258N4778;-0,95
E1259N4778;-0,66
E1260N4778;-0,29
E1256N4779;-0,29
E1257N4779;-0,66
E1258N4779;-0,66
E1259N4779;-0,66
E1260N4779;-0,29
E1257N4780;-0,29
E1258N4780;-0,29
E1259N4780;-0,29
E1273N4780;-0,67
E1274N4780;-0,67
E1275N4780;-0,67
E1272N4781;-0,67
E1273N4781;-1,58
E1274N4781;-1,58
E1275N4781;-1,58
E1276N4781;-0,67
E1280N4781;-0,69
E1281N4781;-0,69
E1282N4781;-0,69
E1248N4782;-0,14
E1249N4782;-1,74
E1250N4782;-1,74
E1251N4782;-1,61
E1263N4782;-0,74
E1264N4782;-0,74
E1265N4782;-0,74
E1272N4782;-0,67
E1273N4782;-1,58
E1274N4782;-2,25
E1275N4782;-1,58
E1276N4782;-0,67
E1279N4782;-0,69
E1280N4782;-1,61
E1281N4782;-1,61
E1282N4782;-1,61
E1283N4782;-0,69
E1247N4783;-0,14
E1248N4783;-1,92
E1249N4783;-4,06
E1250N4783;-4,06
E1251N4783;-3,88
E1252N4783;-1,61
E1262N4783;-0,74
E1263N4783;-1,72
E1264N4783;-1,72
E1265N4783;-1,72
E1266N4783;-0,74
E1272N4783;-0,67
E1273N4783;-1,58
E1274N4783;-1,58
E1275N4783;-1,58
E1276N4783;-0,67
E1279N4783;-0,69
E1280N4783;-1,61
E1281N4783;-2,30
E1282N4783;-1,61
E1283N4783;-0,69
E1247N4784;-0,14
E1248N4784;-1,92
E1249N4784;-4,20
E1250N4784;-6,40
E1251N4784;-4,62
E1252N4784;-2,34
E1256N4784;-1,05
E1257N4784;-1,05
E1258N4784;-1,05
E1262N4784;-0,74
E1263N4784;-1,72
E1264N4784;-2,45
E1265N4784;-1,72
E1266N4784;-0,74
E1269N4784;-1,93
E1270N4784;-1,93
E1271N4784;-1,93
E1273N4784;-0,67
E1274N4784;-0,67
E1275N4784;-0,67
E1279N4784;-0,69
E1280N4784;-1,61
E1281N4784;-1,61
E1282N4784;-1,61
E1283N4784;-0,69
E1246N4785;-0,67
E1247N4785;-0,81
E1248N4785;-2,60
E1249N4785;-4,80
E1250N4785;-5,78
E1251N4785;-5,60
E1252N4785;-3,60
E1253N4785;-1,02
E1254N4785;-0,29
E1255N4785;-1,05
E1256N4785;-2,45
E1257N4785;-2,45
E1258N4785;-2,45
E1259N4785;-1,05
E1262N4785;-0,74
E1263N4785;-1,72
E1264N4785;-1,72
E1265N4785;-1,72
E1266N4785;-0,74
E1268N4785;-10,97
E1269N4785;-16,15
E1270N4785;-16,15
E1271N4785;-7,12
E1272N4785;-1,93
E1280N4785;-0,69
E1281N4785;-0,69
E1282N4785;-0,69
E1245N4786;-0,67
E1246N4786;-1,58
E1247N4786;-1,58
E1248N4786;-2,39
E1249N4786;-3,82
E1250N4786;-4,13
E1251N4786;-4,34
E1252N4786;-2,38
E1253N4786;-1,40
E1254N4786;-0,66
E1255N4786;-1,34
E1256N4786;-2,45
E1257N4786;-3,50
E1258N4786;-2,45
E1259N4786;-1,05
E1263N4786;-0,74
E1264N4786;-0,74
E1265N4786;-0,74
E1267N4786;-9,03
E1268N4786;-29,89
E1269N4786;-35,95
E1270N4786;-37,89
E1271N4786;-19,63
E1272N4786;-4,54
E1276N4786;-3,17
E1277N4786;-3,17
E1278N4786;-3,17
E1245N4787;-0,67
E1246N4787;-1,58
E1247N4787;-2,93
E1248N4787;-3,15
E1249N4787;-2,99
E1250N4787;-3,29
E1251N4787;-2,68
E1252N4787;-2,38
E1253N4787;-2,03
E1254N4787;-1,36
E1255N4787;-2,73
E1256N4787;-3,50
E1257N4787;-3,16
E1258N4787;-2,45
E1259N4787;-1,05
E1267N4787;-13,30
E1268N4787;-35,77
E1269N4787;-50,86
E1270N4787;-44,44
E1271N4787;-23,91
E1272N4787;-4,54
E1275N4787;-3,17
E1276N4787;-9,62
E1277N4787;-9,62
E1278N4787;-9,62
E1279N4787;-3,17
E1245N4788;-0,67
E1246N4788;-1,58
E1247N4788;-2,25
E1248N4788;-3,15
E1249N4788;-2,93
E1250N4788;-2,31
E1251N4788;-1,69
E1252N4788;-1,74
E1253N4788;-1,82
E1254N4788;-2,98
E1255N4788;-3,54
E1256N4788;-3,84
E1257N4788;-3,04
E1258N4788;-1,76
E1267N4788;-13,48
E1268N4788;-34,08
E1269N4788;-43,76
E1270N4788;-39,49
E1271N4788;-21,51
E1272N4788;-2,61
E1275N4788;-5,40
E1276N4788;-12,60
E1277N4788;-15,77
E1278N4788;-12,60
E1279N4788;-5,40
E1246N4789;-0,67
E1247N4789;-1,35
E1248N4789;-2,25
E1249N4789;-1,58
E1250N4789;-1,58
E1251N4789;-0,67
E1252N4789;-0,63
E1253N4789;-1,43
E1254N4789;-2,95
E1255N4789;-3,60
E1256N4789;-3,50
E1257N4789;-1,99
E1258N4789;-0,71
E1260N4789;-3,53
E1261N4789;-3,53
E1262N4789;-3,53
E1267N4789;-4,46
E1268N4789;-19,42
E1269N4789;-22,22
E1270N4789;-22,04
E1271N4789;-7,06
E1275N4789;-5,40
E1276N4789;-12,60
E1277N4789;-14,83
E1278N4789;-12,60
E1279N4789;-5,40
E1247N4790;-0,74
E1248N4790;-3,43
E1249N4790;-3,43
E1250N4790;-2,70
E1252N4790;-0,35
E1253N4790;-1,15
E1254N4790;-2,32
E1255N4790;-3,26
E1256N4790;-2,80
E1257N4790;-1,99
E1258N4790;-0,71
E1259N4790;-3,53
E1260N4790;-12,75
E1261N4790;-12,75
E1262N4790;-12,75
E1263N4790;-3,53
E1267N4790;-0,18
E1268N4790;-4,69
E1269N4790;-4,69
E1270N4790;-4,69
E1271N4790;-0,18
E1275N4790;-2,24
E1276N4790;-8,38
E1277N4790;-8,38
E1278N4790;-8,38
E1279N4790;-2,24
E1246N4791;-0,74
E1247N4791;-3,74
E1248N4791;-6,44
E1249N4791;-6,44
E1250N4791;-5,46
E1251N4791;-2,03
E1253N4791;-0,35
E1254N4791;-0,69
E1255N4791;-1,40
E1256N4791;-1,05
E1257N4791;-0,71
E1259N4791;-8,06
E1260N4791;-18,79
E1261N4791;-22,32
E1262N4791;-18,79
E1263N4791;-8,06
E1268N4791;-0,18
E1269N4791;-0,18
E1270N4791;-0,18
E1276N4791;-2,24
E1277N4791;-2,24
E1278N4791;-2,24
E1246N4792;-0,74
E1247N4792;-3,74
E1248N4792;-7,18
E1249N4792;-8,69
E1250N4792;-5,69
E1251N4792;-2,25
E1259N4792;-8,06
E1260N4792;-18,79
E1261N4792;-23,33
E1262N4792;-18,79
E1263N4792;-8,79
E1264N4792;-0,74
E1265N4792;-0,74
E1246N4793;-0,74
E1247N4793;-3,74
E1248N4793;-6,66
E1249N4793;-8,32
E1250N4793;-7,33
E1251N4793;-3,90
E1252N4793;-0,22
E1259N4793;-4,53
E1260N4793;-14,09
E1261N4793;-14,09
E1262N4793;-14,83
E1263N4793;-6,24
E1264N4793;-1,72
E1265N4793;-1,72
E1266N4793;-0,74
E1283N4793;-0,22
E1284N4793;-0,22
E1285N4793;-0,22
E1247N4794;-0,74
E1248N4794;-4,33
E1249N4794;-6,44
E1250N4794;-5,93
E1251N4794;-3,68
E1252N4794;-1,57
E1260N4794;-4,53
E1261N4794;-4,53
E1262N4794;-5,27
E1263N4794;-1,72
E1264N4794;-2,45
E1265N4794;-1,72
E1266N4794;-0,74
E1282N4794;-0,22
E1283N4794;-0,52
E1284N4794;-0,52
E1285N4794;-0,52
E1286N4794;-0,22
E1248N4795;-1,57
E1249N4795;-3,68
E1250N4795;-5,03
E1251N4795;-3,68
E1252N4795;-1,57
E1262N4795;-0,74
E1263N4795;-1,72
E1264N4795;-1,72
E1265N4795;-1,72
E1266N4795;-0,74
E1282N4795;-0,22
E1283N4795;-0,52
E1284N4795;-0,75
E1285N4795;-0,52
E1286N4795;-0,22
E1296N4795;-0,35
E1297N4795;-0,35
E1298N4795;-0,35
E1248N4796;-1,35
E1249N4796;-3,38
E1250N4796;-3,38
E1251N4796;-3,38
E1252N4796;-1,35
E1263N4796;-0,74
E1264N4796;-0,74
E1265N4796;-0,74
E1282N4796;-0,22
E1283N4796;-0,52
E1284N4796;-0,52
E1285N4796;-0,52
E1286N4796;-0,22
E1295N4796;-0,35
E1296N4796;-0,80
E1297N4796;-0,80
E1298N4796;-0,80
E1299N4796;-0,35
E1242N4797;-0,45
E1243N4797;-0,45
E1244N4797;-0,45
E1249N4797;-1,35
E1250N4797;-1,35
E1251N4797;-1,35
E1254N4797;-0,67
E1255N4797;-0,67
E1256N4797;-0,67
E1283N4797;-0,22
E1284N4797;-0,22
E1285N4797;-0,22
E1295N4797;-0,35
E1296N4797;-0,80
E1297N4797;-1,15
E1298N4797;-0,80
E1299N4797;-0,35
E1241N4798;-0,45
E1242N4798;-1,05
E1243N4798;-1,05
E1244N4798;-1,05
E1245N4798;-0,45
E1248N4798;-0,14
E1249N4798;-0,14
E1250N4798;-0,27
E1251N4798;-0,14
E1252N4798;-0,14
E1253N4798;-0,67
E1254N4798;-1,58
E1255N4798;-1,98
E1256N4798;-1,98
E1257N4798;-1,08
E1295N4798;-0,35
E1296N4798;-0,80
E1297N4798;-0,80
E1298N4798;-0,80
E1299N4798;-0,35
E1241N4799;-0,45
E1242N4799;-1,05
E1243N4799;-1,50
E1244N4799;-1,05
E1245N4799;-1,19
E1246N4799;-0,74
E1247N4799;-0,87
E1248N4799;-0,32
E1249N4799;-0,45
E1250N4799;-0,63
E1251N4799;-0,45
E1252N4799;-0,32
E1253N4799;-0,81
E1254N4799;-1,98
E1255N4799;-3,20
E1256N4799;-2,52
E1257N4799;-1,62
E1258N4799;-0,41
E1296N4799;-0,35
E1297N4799;-0,35
E1298N4799;-0,35
E1238N4800;-0,35
E1239N4800;-0,35
E1240N4800;-0,35
E1241N4800;-0,45
E1242N4800;-1,05
E1243N4800;-1,05
E1244N4800;-1,78
E1245N4800;-2,17
E1246N4800;-1,72
E1247N4800;-1,85
E1248N4800;-1,05
E1249N4800;-0,59
E1250N4800;-0,63
E1251N4800;-0,59
E1252N4800;-0,32
E1253N4800;-0,81
E1254N4800;-1,98
E1255N4800;-2,52
E1256N4800;-2,93
E1257N4800;-1,62
E1258N4800;-0,41
E1287N4800;-0,35
E1288N4800;-0,35
E1289N4800;-0,35
E1237N4801;-0,35
E1238N4801;-0,80
E1239N4801;-0,80
E1240N4801;-0,80
E1241N4801;-0,35
E1242N4801;-0,45
E1243N4801;-0,45
E1244N4801;-1,19
E1245N4801;-1,72
E1246N4801;-2,45
E1247N4801;-1,85
E1248N4801;-1,05
E1249N4801;-0,45
E1250N4801;-0,63
E1251N4801;-0,45
E1252N4801;-0,32
E1253N4801;-0,14
E1254N4801;-1,08
E1255N4801;-1,62
E1256N4801;-2,36
E1257N4801;-1,68
E1258N4801;-1,14
E1286N4801;-0,35
E1287N4801;-0,80
E1288N4801;-0,80
E1289N4801;-0,80
E1290N4801;-0,35
E1237N4802;-0,35
E1238N4802;-0,80
E1239N4802;-1,15
E1240N4802;-0,80
E1241N4802;-0,35
E1244N4802;-0,74
E1245N4802;-1,85
E1246N4802;-1,85
E1247N4802;-1,85
E1248N4802;-0,87
E1249N4802;-0,14
E1250N4802;-0,27
E1251N4802;-0,14
E1252N4802;-0,14
E1255N4802;-1,14
E1256N4802;-2,12
E1257N4802;-2,12
E1258N4802;-1,72
E1259N4802;-0,74
E1286N4802;-0,35
E1287N4802;-0,80
E1288N4802;-1,15
E1289N4802;-0,80
E1290N4802;-0,35
E1237N4803;-0,35
E1238N4803;-0,80
E1239N4803;-0,80
E1240N4803;-0,80
E1241N4803;-0,35
E1244N4803;-0,14
E1245N4803;-1,05
E1246N4803;-1,05
E1247N4803;-1,34
E1248N4803;-0,42
E1249N4803;-0,29
E1250N4803;-0,69
E1251N4803;-0,69
E1252N4803;-0,69
E1255N4803;-0,74
E1256N4803;-1,72
E1257N4803;-2,45
E1258N4803;-1,72
E1259N4803;-0,74
E1286N4803;-0,35
E1287N4803;-0,80
E1288N4803;-0,80
E1289N4803;-0,80
E1290N4803;-0,35
E1238N4804;-0,35
E1239N4804;-0,35
E1240N4804;-0,35
E1244N4804;-1,44
E1245N4804;-1,62
E1246N4804;-2,04
E1247N4804;-3,01
E1248N4804;-2,82
E1249N4804;-5,62
E1250N4804;-5,14
E1251N4804;-6,74
E1252N4804;-4,51
E1253N4804;-2,58
E1255N4804;-0,74
E1256N4804;-1,72
E1257N4804;-1,72
E1258N4804;-1,72
E1259N4804;-0,74
E1279N4804;-0,14
E1280N4804;-0,14
E1281N4804;-0,14
E1287N4804;-0,35
E1288N4804;-0,35
E1289N4804;-0,35
E1243N4805;-1,81
E1244N4805;-4,42
E1245N4805;-4,60
E1246N4805;-6,81
E1247N4805;-9,62
E1248N4805;-10,79
E1249N4805;-14,64
E1250N4805;-15,11
E1251N4805;-18,89
E1252N4805;-18,68
E1253N4805;-12,58
E1254N4805;-6,39
E1255N4805;-1,04
E1256N4805;-1,77
E1257N4805;-0,74
E1258N4805;-0,74
E1278N4805;-0,14
E1279N4805;-0,32
E1280N4805;-0,32
E1281N4805;-0,32
E1282N4805;-0,14
E1242N4806;-0,51
E1243N4806;-3,23
E1244N4806;-5,95
E1245N4806;-7,80
E1246N4806;-10,86
E1247N4806;-13,79
E1248N4806;-16,06
E1249N4806;-19,77
E1250N4806;-24,89
E1251N4806;-28,96
E1252N4806;-31,80
E1253N4806;-26,71
E1254N4806;-27,60
E1255N4806;-17,62
E1256N4806;-11,76
E1257N4806;-1,04
E1278N4806;-0,14
E1279N4806;-0,32
E1280N4806;-0,45
E1281N4806;-0,32
E1282N4806;-0,14
E1242N4807;-0,51
E1243N4807;-3,23
E1244N4807;-6,46
E1245N4807;-7,09
E1246N4807;-10,45
E1247N4807;-13,68
E1248N4807;-15,86
E1249N4807;-18,84
E1250N4807;-21,44
E1251N4807;-29,10
E1252N4807;-35,01
E1253N4807;-44,24
E1254N4807;-50,84
E1255N4807;-42,47
E1256N4807;-32,71
E1257N4807;-11,10
E1261N4807;-1,35
E1262N4807;-1,35
E1263N4807;-1,35
E1278N4807;-0,14
E1279N4807;-0,32
E1280N4807;-0,32
E1281N4807;-0,32
E1282N4807;-0,14
E1242N4808;-0,51
E1243N4808;-1,92
E1244N4808;-4,21
E1245N4808;-4,62
E1246N4808;-6,68
E1247N4808;-8,99
E1248N4808;-8,43
E1249N4808;-11,73
E1250N4808;-12,52
E1251N4808;-19,96
E1252N4808;-26,81
E1253N4808;-45,21
E1254N4808;-61,36
E1255N4808;-61,04
E1256N4808;-42,44
E1257N4808;-17,43
E1258N4808;-0,72
E1260N4808;-1,35
E1261N4808;-3,15
E1262N4808;-3,15
E1263N4808;-3,15
E1264N4808;-1,35
E1269N4808;-2,10
E1270N4808;-8,55
E1271N4808;-10,26
E1272N4808;-8,16
E1273N4808;-2,16
E1274N4808;-0,45
E1275N4808;-0,45
E1279N4808;-0,14
E1280N4808;-0,14
E1281N4808;-0,14
E1243N4809;-0,51
E1244N4809;-1,25
E1245N4809;-1,25
E1246N4809;-1,14
E1247N4809;-2,61
E1248N4809;-2,75
E1249N4809;-2,34
E1250N4809;-1,74
E1251N4809;-5,07
E1252N4809;-13,14
E1253N4809;-33,66
E1254N4809;-53,76
E1255N4809;-54,42
E1256N4809;-41,91
E1257N4809;-16,39
E1258N4809;-0,72
E1260N4809;-1,35
E1261N4809;-3,15
E1262N4809;-4,50
E1263N4809;-3,89
E1264N4809;-2,09
E1265N4809;-0,74
E1268N4809;-2,10
E1269N4809;-11,35
E1270N4809;-21,66
E1271N4809;-23,94
E1272N4809;-21,59
E1273N4809;-11,49
E1274N4809;-2,76
E1275N4809;-1,05
E1276N4809;-0,45
E1252N4810;-4,13
E1253N4810;-16,93
E1254N4810;-34,34
E1255N4810;-34,85
E1256N4810;-27,55
E1257N4810;-7,19
E1258N4810;-0,72
E1260N4810;-2,70
E1261N4810;-4,50
E1262N4810;-5,23
E1263N4810;-4,87
E1264N4810;-3,07
E1265N4810;-1,72
E1266N4810;-0,74
E1268N4810;-2,10
E1269N4810;-11,35
E1270N4810;-23,76
E1271N4810;-30,39
E1272N4810;-23,30
E1273N4810;-11,49
E1274N4810;-3,21
E1275N4810;-1,05
E1276N4810;-0,45
E1252N4811;-2,07
E1253N4811;-6,57
E1254N4811;-14,19
E1255N4811;-12,98
E1256N4811;-8,48
E1257N4811;-0,86
E1258N4811;-0,18
E1259N4811;-1,53
E1260N4811;-3,33
E1261N4811;-4,50
E1262N4811;-5,23
E1263N4811;-4,42
E1264N4811;-2,45
E1265N4811;-1,72
E1266N4811;-0,74
E1268N4811;-2,10
E1269N4811;-11,35
E1270N4811;-21,66
E1271N4811;-23,94
E1272N4811;-21,59
E1273N4811;-11,49
E1274N4811;-2,76
E1275N4811;-1,05
E1276N4811;-0,45
E1252N4812;-2,07
E1253N4812;-4,97
E1254N4812;-5,15
E1255N4812;-5,15
E1256N4812;-2,39
E1257N4812;-0,32
E1258N4812;-0,42
E1259N4812;-1,77
E1260N4812;-3,57
E1261N4812;-4,68
E1262N4812;-3,89
E1263N4812;-3,07
E1264N4812;-1,72
E1265N4812;-1,72
E1266N4812;-0,74
E1269N4812;-2,10
E1270N4812;-8,55
E1271N4812;-10,26
E1272N4812;-8,16
E1273N4812;-2,16
E1274N4812;-0,45
E1275N4812;-0,45
E1253N4813;-2,07
E1254N4813;-2,21
E1255N4813;-2,21
E1256N4813;-0,14
E1257N4813;-0,18
E1258N4813;-0,42
E1259N4813;-1,95
E1260N4813;-3,57
E1261N4813;-3,33
E1262N4813;-3,15
E1263N4813;-2,09
E1264N4813;-0,74
E1265N4813;-0,74
E1246N4814;-1,66
E1247N4814;-1,66
E1248N4814;-1,66
E1257N4814;-0,18
E1258N4814;-0,42
E1259N4814;-0,42
E1260N4814;-1,77
E1261N4814;-1,53
E1262N4814;-1,35
E1265N4814;-2,07
E1266N4814;-2,07
E1267N4814;-2,07
E1188N4815;-2,07
E1189N4815;-2,07
E1190N4815;-2,07
E1213N4815;-0,14
E1214N4815;-0,14
E1215N4815;-0,14
E1245N4815;-1,66
E1246N4815;-6,75
E1247N4815;-6,75
E1248N4815;-6,75
E1249N4815;-1,66
E1255N4815;-2,32
